name,price_usd,mark_price_usd,star_rating,review_count,colour_encoded,colour_: Army Green,colour_: Baby Pink,colour_: Beige,colour_: Black,colour_: Black Khaki,colour_: Black Purple,colour_: Black and White,colour_: Blue,colour_: Blue Cloth,colour_: Blue and White,colour_: Brown,colour_: Brown and White,colour_: Burgundy,colour_: Burnt Orange,colour_: Camel,colour_: Champagne,colour_: Chocolate Brown,colour_: Clear,colour_: Coffee Brown,colour_: Dark Grey,colour_: Dusty Pink,colour_: Dusty Purple,colour_: Gold,colour_: Green,colour_: Green Shiny Leather,colour_: Grey,colour_: Hot Pink,colour_: Khaki,colour_: Leopard Print,colour_: Mauve Purple,colour_: Medium Cool Black,colour_: Mint Green,colour_: Multicolor,colour_: Navy Blue,colour_: Orange,colour_: Pink,colour_: Pink Brown,colour_: Purple,colour_: Red,colour_: Red Violet,colour_: Red and White,colour_: Rose Gold,colour_: Royal Blue,colour_: Rust Brown,colour_: SILVER/GLITTER,colour_: Silver,colour_: Teal Blue,colour_: Violet Purple,colour_: WHITE,colour_: White,colour_: White Card,colour_: White Pink,colour_: White and Blue,colour_: White/Blue Leaf,colour_: Yellow,colour_: Yellow Blue,colour_: black flip flops,colour_: dark brown
"Women's Casual Sports Shoes, Fashionable Versatile Sneakers With Lace-Up Design",19.4,24.4,4.83,77.0,28,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"2024 New Spring/Autumn Women Breathable Mesh Hollow Out Thick Sole Platform Loafers, Casual Flat Shoes",14.9,18.8,0.0,426.97953488372093,4,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Women's Casual Slip-on Flat Skate Shoes With Anti-slip Sole,7.5,18.8,4.92,66.0,4,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"Women Mesh Breathable Casual Shoes, Soft Non-Slip Sports Shoes, Ladies Walking Shoes For All Seasons",12.06,21.3,0.0,41.0,38,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Women's Fashionable Casual Sneakers,13.53,17.05,0.0,100.0,26,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"Sporty Chunky Sneakers For Women, Letter Graphic Lace-up Front Sneakers",21.3,26.9,0.0,500.0,50,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
Summer Women Casual Sports Shoes Slip-On Hollow-Out Thick-Soled Sneakers Fashion Low-Heel Shoes,14.9,25.392143671607748,0.0,426.97953488372093,3,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Comfortable Thick-Soled One Foot Slip-On Rocking Shoes Soft Bottom Women Shoes Flat Shoes Khaki Color,16.9,21.2,0.0,500.0,28,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"New Spring Fashionable Casual Sports Style Thick-Soled Sneakers For Women, Korean Style Trainers",22.9,28.8,0.0,15.0,3,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"Women Lace Up Casual Shoes, Sporty Outdoor Canvas Sneakers",13.0,16.3,0.0,36.0,4,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
