"Unnamed: 0","annotation_id","annotator","condition","created_at","date","drugName","id","lead_time","rating","review","sentiment","updated_at","usefulCount"
23386,13,"1","Opiate Withdrawal","2024-06-11T18:53:06.253133Z","August 15, 2013","Methadone",93,3.238,10.0,"""I&#039;ve been taking Methadone disks for 5 yrs after a long battle with pain that lead to illicit use of injectables. This has saved my life, family and health. I have absolutely zero cravings nor desire to return to my previous lifestyle.""","high","2024-06-11T18:53:06.253156Z",48
134882,14,"1","Renal Cell Carcinoma","2024-06-11T18:53:35.600856Z","August 4, 2017","Pazopanib",94,3.726,9.0,"""Update-tolerating Votrient 400mg. Last 2 scans status quo. Diarrhea controlled with immodium. Pattern of a couple good weeks followed by fatigue and general awful feeling. Medicinal marijuana has been a godsend for these bad times. Almost like setting a reset button both mentally and physically. Only do it when I feel awful and won&#039;t be leaving the house.""","high","2024-06-11T18:53:35.600891Z",1
215839,15,"1","Birth Control","2024-06-11T18:53:43.534220Z","August 19, 2016","Copper",95,2.278,1.0,"""My first expulsion happened two days after insertion. Tried using Paragard again, and my body rejected it after a week.  I like the concept on Paragard and I wish it would&#039;ve worked for me.""","low","2024-06-11T18:53:43.534250Z",1
187368,16,"1","Juvenile Idiopathic Arthritis","2024-06-11T18:54:40.290844Z","February 17, 2017","Orencia",96,6.57,7.0,"""I loved it til I had my first reaction after 8 months using it . my life has improved.""","medium","2024-06-11T18:55:19.992298Z",2
51789,17,"1","Methicillin-Resistant Staphylococcus Aureus Infection","2024-06-11T18:54:44.743685Z","September 3, 2015","Zyvox",97,6.707,10.0,"""I got a breast infection that was found to be mrsa.  I was admitted for IV antibiotics.  I was exclusively nursing a 6 week old.  I continued to nurse my newborn with the infection and on the medication.  My baby or I had no side effects.  (no yeast, digestive issues)  It cleared up my infection fast.  I got 3 days of IV and 7 more days of oral medication.""","high","2024-06-11T18:55:31.713890Z",6
175007,18,"1","Multiple Sclerosis","2024-06-11T18:54:54.426286Z","July 5, 2017","Fingolimod",98,5.853,8.0,"""Stabilized my MS symptoms and make it under control

But the medicine already covered by my insurance so far""","high","2024-06-11T18:55:39.570859Z",4
166154,19,"1","Birth Control","2024-06-11T18:55:42.884585Z","January 8, 2017","Levonorgestrel",99,2.118,9.0,"""Hello! I am 21 and I had my Skyla put in over 6 months ago. I took two ibuprofen before going to the doctor. The insertion was painful for about 30 seconds (really bad cramping). About an hour later I had some bleeding then some heavy cramps, but after taking Midol they went away. I bled for about 4 weeks straight and had some pretty bad cramps during that time. After that, my period became normal (only once a month for 4-5 days with light to normal bleeding). I do experience some bad cramping from time to time, mostly before my period and a few days after it stops, but after taking Midol or Aleve, it goes away. I also have a history of ovarian cysts and endometriosis but have not had any problems with that since my Skyla! I recommend this!""","high","2024-06-11T18:55:42.884609Z",7
202181,20,"1","Acne","2024-06-11T18:55:52.272078Z","December 23, 2013","Benzoyl peroxide / clindamycin",100,2.543,6.0,"""I applied Duac on my face as instructed and after 2 days of using it, I noticed that my pimples started to disappear but the problem is my whole face got swollen, itchy and red. I can&#039;t even sleep and go to school for days. So what I did is I visited my doctor again and told me that those were the side effects of the product and told me to stop using it. To relieve the stinging and redness I used an ice pack on my face and put moisturizer non stop. Luckily, after a few days the swelling and redness disappeared. Thank God my acne disappeared and since then whenever pimples appear on my face, I just applied the gel directly on the pimples.""","medium","2024-06-11T18:55:52.272112Z",13
127025,21,"1","Migraine","2024-06-11T18:56:19.035513Z","January 12, 2015","Metoclopramide",101,1.668,7.0,"""I&#039;m so glad I read these postings. I was admitted to ER After a five day migraine. I was given this medicine through an IV. It took about 45-hour to feel relief. It took my pain level from a 10 to a 4. However the first 20 minutes I felt very restless suddenly and I want to be out of the hospital, I was uncomfortable and I wanted to rip the IV out of my arm. I was paranoid waiting for my boyfriend to come back from the restroom. I couldn&#039;t explain the feeling but after reading the other posts I see it was a similar experience and side effect to the other posters.""","medium","2024-06-11T18:56:19.035537Z",22
18494,22,"1","Rosacea","2024-06-11T18:56:25.888465Z","December 1, 2017","Ivermectin",102,2.013,5.0,"""I was soooo hopeful after reading all of the reviews that SooIantra would be my magic ticket to clear skin after 3 months of a severe rosacea breakout. I have been using the cream once daily for almost 4 weeks and I haven&#039;t noticed the slightest change in my skin. It&#039;s possible the papules are even worse. I am really hoping things turn around soon...not going to give up yet, however I am thinking about taking antibiotics in conjunction as I don&#039;t think I can stand it much longer. I will post another update soon!""","medium","2024-06-11T18:56:25.888488Z",0
